;;;;;;
No;"Kode Provinsi
Kemendagri";Provinsi;Tahun;Hewan;Jenis Pemotongan;Ekor
1;11;Aceh;2018;Sapi;Pemotongan Tercatat;59442
2;12;Sumatera Utara;2018;Sapi;Pemotongan Tercatat;62082
3;13;Sumatera Barat;2018;Sapi;Pemotongan Tercatat;82930
4;14;Riau;2018;Sapi;Pemotongan Tercatat;46603
5;15;Jambi;2018;Sapi;Pemotongan Tercatat;25714
6;16;Sumatera Selatan;2018;Sapi;Pemotongan Tercatat;58287
7;17;Bengkulu;2018;Sapi;Pemotongan Tercatat;13479
8;18;Lampung;2018;Sapi;Pemotongan Tercatat;46894
9;19;Kepulauan Bangka Belitung;2018;Sapi;Pemotongan Tercatat;5220
10;21;Kepulauan Riau;2018;Sapi;Pemotongan Tercatat;4717
11;31;DKI Jakarta;2018;Sapi;Pemotongan Tercatat;67079
12;32;Jawa Barat;2018;Sapi;Pemotongan Tercatat;289206
13;33;Jawa Tengah;2018;Sapi;Pemotongan Tercatat;250699
14;34;DI Yogyakarta;2018;Sapi;Pemotongan Tercatat;34951
15;35;Jawa Timur;2018;Sapi;Pemotongan Tercatat;316109
16;36;Banten;2018;Sapi;Pemotongan Tercatat;98885
17;51;Bali;2018;Sapi;Pemotongan Tercatat;31792
18;52;Nusa Tenggara Barat;2018;Sapi;Pemotongan Tercatat;53969
19;53;Nusa Tenggara Timur;2018;Sapi;Pemotongan Tercatat;69260
20;61;Kalimantan Barat;2018;Sapi;Pemotongan Tercatat;36033
21;62;Kalimantan Tengah;2018;Sapi;Pemotongan Tercatat;18442
22;63;Kalimantan Selatan;2018;Sapi;Pemotongan Tercatat;33638
23;64;Kalimantan Timur;2018;Sapi;Pemotongan Tercatat;43729
24;65;Kalimantan Utara;2018;Sapi;Pemotongan Tercatat;4017
25;71;Sulawesi Utara;2018;Sapi;Pemotongan Tercatat;18139
26;72;Sulawesi Tengah;2018;Sapi;Pemotongan Tercatat;28978
27;73;Sulawesi Selatan;2018;Sapi;Pemotongan Tercatat;122637
28;74;Sulawesi Tenggara;2018;Sapi;Pemotongan Tercatat;31349
29;75;Gorontalo;2018;Sapi;Pemotongan Tercatat;24726
30;76;Sulawesi Barat;2018;Sapi;Pemotongan Tercatat;13390
31;81;Maluku;2018;Sapi;Pemotongan Tercatat;12865
32;82;Maluku Utara;2018;Sapi;Pemotongan Tercatat;5478
33;92;Papua Barat;2018;Sapi;Pemotongan Tercatat;10227
34;91;Papua;2018;Sapi;Pemotongan Tercatat;11961
35;11;Aceh;2019;Sapi;Pemotongan Tercatat;53725
36;12;Sumatera Utara;2019;Sapi;Pemotongan Tercatat;66319
37;13;Sumatera Barat;2019;Sapi;Pemotongan Tercatat;88203
38;14;Riau;2019;Sapi;Pemotongan Tercatat;50395
39;15;Jambi;2019;Sapi;Pemotongan Tercatat;24791
40;16;Sumatera Selatan;2019;Sapi;Pemotongan Tercatat;59292
41;17;Bengkulu;2019;Sapi;Pemotongan Tercatat;14108
42;18;Lampung;2019;Sapi;Pemotongan Tercatat;50811
43;19;Kepulauan Bangka Belitung;2019;Sapi;Pemotongan Tercatat;7137
44;21;Kepulauan Riau;2019;Sapi;Pemotongan Tercatat;5606
45;31;DKI Jakarta;2019;Sapi;Pemotongan Tercatat;81147
46;32;Jawa Barat;2019;Sapi;Pemotongan Tercatat;284151
47;33;Jawa Tengah;2019;Sapi;Pemotongan Tercatat;243916
48;34;DI Yogyakarta;2019;Sapi;Pemotongan Tercatat;37997
49;35;Jawa Timur;2019;Sapi;Pemotongan Tercatat;312144
50;36;Banten;2019;Sapi;Pemotongan Tercatat;152163
51;51;Bali;2019;Sapi;Pemotongan Tercatat;35319
52;52;Nusa Tenggara Barat;2019;Sapi;Pemotongan Tercatat;55569
53;53;Nusa Tenggara Timur;2019;Sapi;Pemotongan Tercatat;68894
54;61;Kalimantan Barat;2019;Sapi;Pemotongan Tercatat;35724
55;62;Kalimantan Tengah;2019;Sapi;Pemotongan Tercatat;19480
56;63;Kalimantan Selatan;2019;Sapi;Pemotongan Tercatat;28478
57;64;Kalimantan Timur;2019;Sapi;Pemotongan Tercatat;43213
58;65;Kalimantan Utara;2019;Sapi;Pemotongan Tercatat;3666
59;71;Sulawesi Utara;2019;Sapi;Pemotongan Tercatat;17311
60;72;Sulawesi Tengah;2019;Sapi;Pemotongan Tercatat;29577
61;73;Sulawesi Selatan;2019;Sapi;Pemotongan Tercatat;90589
62;74;Sulawesi Tenggara;2019;Sapi;Pemotongan Tercatat;21879
63;75;Gorontalo;2019;Sapi;Pemotongan Tercatat;22284
64;76;Sulawesi Barat;2019;Sapi;Pemotongan Tercatat;12502
65;81;Maluku;2019;Sapi;Pemotongan Tercatat;13338
66;82;Maluku Utara;2019;Sapi;Pemotongan Tercatat;6477
67;92;Papua Barat;2019;Sapi;Pemotongan Tercatat;10290
68;91;Papua;2019;Sapi;Pemotongan Tercatat;18454
69;11;Aceh;2020;Sapi;Pemotongan Tercatat;66679
70;12;Sumatera Utara;2020;Sapi;Pemotongan Tercatat;64716
71;13;Sumatera Barat;2020;Sapi;Pemotongan Tercatat;84075
72;14;Riau;2020;Sapi;Pemotongan Tercatat;55379
73;15;Jambi;2020;Sapi;Pemotongan Tercatat;28565
74;16;Sumatera Selatan;2020;Sapi;Pemotongan Tercatat;60214
75;17;Bengkulu;2020;Sapi;Pemotongan Tercatat;11900
76;18;Lampung;2020;Sapi;Pemotongan Tercatat;55883
77;19;Kepulauan Bangka Belitung;2020;Sapi;Pemotongan Tercatat;7306
78;21;Kepulauan Riau;2020;Sapi;Pemotongan Tercatat;8501
79;31;DKI Jakarta;2020;Sapi;Pemotongan Tercatat;25524
80;32;Jawa Barat;2020;Sapi;Pemotongan Tercatat;284189
81;33;Jawa Tengah;2020;Sapi;Pemotongan Tercatat;227748
82;34;DI Yogyakarta;2020;Sapi;Pemotongan Tercatat;35668
83;35;Jawa Timur;2020;Sapi;Pemotongan Tercatat;288348
